feature,mean_abs_shap
hc_n_alpha_tokens,4.890407427627693
word_len_ws,2.977773395225372
tiktoken_len,2.7440706632277836
hc_pos_noun_ratio,2.530027425744133
hc_ttr,1.5845167647049416
punct_ratio,1.302923465864646
hc_n_tokens,1.0896184783979834
coleman_liau_index,1.0644249482078767
hc_lemma_ttr,1.0600311516140064
hc_hapax_ratio,0.9631882460494225
hc_pos_pron_ratio,0.8704537414187757
ttr,0.7047739281830018
hc_n_chars,0.6963854943428087
char_len,0.6963854943428087
hc_pos_verb_ratio,0.6368022136096072
flesch_reading_ease,0.6167575566121538
hc_pos_det_ratio,0.5721340200070666
flesch_kincaid_grade,0.5492397999856959
hc_pos_adp_ratio,0.5092570298250068
hc_punct_paren_ratio,0.5056895565839339
lm_mean_nll,0.4764706380273927
hc_punct_dash_ratio,0.4219386220391815
hc_n_sentences,0.4094586521500489
hc_pos_adv_ratio,0.3497524503028658
hc_pos_adj_ratio,0.33948856097249336
